,city,state,zip,region,gradeWalking,avgDaysOfEnjoyableWeather,avgInternetSpeed,avgPopulationDensity,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety,lat,lon,pizzaPlaceTotal,pizzaRatingAvg,group
255,Hampton,VA,23666,South,0.2298850574712644,0.2883435582822086,0.19047619047619047,0.03653525367183368,0.7469879518072289,0.2191780821917808,0.2,0.8421052631578948,0.15789473684210525,0.25609756097560976,0.5555555555555554,0.06346931699988444,0.1378818341007847,0.5294117647058822,0.5294117647058822,0.4705882352941176,37.0298687,-76.34522179999998,132,4.01,0
256,Newport News,VA,23608,South,0.25287356321839083,0.27607361963190186,0.22448979591836737,0.04189213013819385,0.6506024096385541,0.273972602739726,0.2,0.8684210526315791,0.13157894736842107,0.34146341463414637,0.5555555555555554,0.07259909857852768,0.1378818341007847,0.7647058823529411,0.4705882352941176,0.4705882352941176,37.087082099999996,-76.4730122,110,3.93,2
257,Springfield,MO,65807,Midwest,0.28735632183908044,0.2392638036809816,0.1564625850340136,0.012829380094118286,0.32530120481927705,0.273972602739726,0.4,0.5789473684210527,0.4210526315789474,0.6707317073170732,0.6666666666666667,0.045186640471512766,0.08599779492833515,0.6470588235294117,0.9411764705882353,0.0,37.20895720000001,-93.2922989,94,4.17,2
258,Roanoke,VA,24018,South,0.3563218390804598,0.3558282208588957,0.14965986394557823,0.015270488357269756,0.5903614457831323,0.273972602739726,0.6,0.6578947368421053,0.34210526315789475,0.39024390243902435,0.5999999999999999,0.05720559343580261,0.09144561904144233,0.7058823529411764,0.9411764705882353,0.23529411764705882,37.270970399999996,-79.9414266,84,4.13,2
259,Merced,CA,95340,West,0.33333333333333337,0.22085889570552147,0.23129251700680276,0.005370438178933236,0.506024096385542,0.136986301369863,0.4,0.6578947368421053,0.34210526315789475,0.48780487804878053,0.5555555555555554,0.08854547555761008,0.4750632336727413,0.0,0.6470588235294117,0.411764705882353,37.3021632,-120.48296770000002,69,4.11,0
260,San Jose,CA,95123,West,0.4379310344827586,0.7791411042944786,0.217687074829932,0.048632301287006525,0.7228915662650601,0.4520547945205479,0.6,0.75,0.24999999999999994,0.2682926829268293,0.33333333333333326,0.3551369467236796,0.655295414748038,0.7647058823529411,0.23529411764705882,0.5294117647058822,37.338208200000004,-121.88632859999998,116,4.29,0
261,Santa Clara,CA,95051,West,0.5287356321839081,0.6748466257668713,0.272108843537415,0.08527604865942472,0.7228915662650601,0.6712328767123288,0.4,0.75,0.24999999999999994,0.2682926829268293,0.288888888888889,0.4256327285334566,0.4750632336727413,0.7647058823529411,0.5294117647058822,0.6470588235294117,37.354107899999995,-121.9552356,124,4.27,1
262,Sunnyvale,CA,94087,West,0.5172413793103449,0.6748466257668713,0.23129251700680276,0.09246375632314849,0.7228915662650601,0.7397260273972601,0.6,0.75,0.24999999999999994,0.2682926829268293,0.19999999999999996,0.4815670865595747,0.44915364161099935,0.7647058823529411,0.411764705882353,0.7647058823529411,37.368829999999996,-122.03634960000001,136,4.25,1
263,Lynchburg,VA,24502,South,0.19540229885057472,0.2822085889570552,0.08843537414965986,0.009371143387987035,0.4096385542168674,0.3698630136986301,0.2,0.6315789473684211,0.3684210526315789,0.5975609756097562,0.7111111111111112,0.05859239570091298,0.08735975095661197,0.7647058823529411,0.9411764705882353,0.5294117647058822,37.4137536,-79.14224639999998,80,4.06,2
264,Palo Alto,CA,94303,West,0.5057471264367817,0.8159509202453988,0.22448979591836737,0.059495233058030575,0.7228915662650601,1.0,0.4,0.75,0.24999999999999994,0.2682926829268293,0.19999999999999996,1.0,0.4969193851741357,0.5294117647058822,0.6470588235294117,0.7058823529411764,37.441883399999995,-122.14301950000001,134,4.19,1
265,Redwood City,CA,94061,West,0.5172413793103449,0.8159509202453988,0.23129251700680276,0.01662665961457613,0.7349397590361444,0.4657534246575343,0.4,0.7631578947368421,0.2368421052631579,0.25609756097560976,0.3999999999999999,0.6204784467814631,0.655295414748038,0.5294117647058822,0.29411764705882354,0.6470588235294117,37.484795500000004,-122.228141,138,4.15,0
266,Richmond,VA,23223,South,0.4505747126436782,0.22699386503067487,0.20408163265306123,0.031137692067754318,0.8072289156626504,0.41095890410958896,0.4,0.6973684210526316,0.3026315789473684,0.18292682926829268,0.8444444444444443,0.08482607188258408,0.11874959465594392,0.5294117647058822,0.6470588235294117,0.23529411764705882,37.540724600000004,-77.4360481,127,4.09,1
267,Fremont,CA,94536,West,0.39655172413793105,0.8159509202453988,0.19047619047619047,0.04242103692854334,0.8192771084337349,0.6164383561643836,0.6,0.855263157894737,0.1447368421052631,0.15853658536585363,0.15555555555555556,0.37478331214607646,0.4750632336727413,0.5294117647058822,0.0,0.7058823529411764,37.5485396,-121.988583,170,4.13,1
268,San Mateo,CA,94403,West,0.6091954022988506,0.8159509202453988,0.24489795918367346,0.09940735316055713,0.7349397590361444,0.5342465753424657,0.4,0.7631578947368421,0.2368421052631579,0.25609756097560976,0.3999999999999999,0.4917369698370507,0.44163045593099415,0.5294117647058822,0.23529411764705882,0.7058823529411764,37.562991700000005,-122.32552539999999,155,4.17,1
269,Modesto,CA,95355,West,0.3908045977011495,0.32515337423312884,0.1564625850340136,0.01589432713563069,0.46987951807228906,0.16438356164383564,0.4,0.736842105263158,0.2631578947368421,0.5121951219512195,0.4444444444444444,0.10389460302785161,0.4750632336727413,0.0,0.23529411764705882,0.0,37.639259499999994,-120.9970014,101,4.18,0
270,Hayward,CA,94544,West,0.47126436781609193,0.8159509202453988,0.19727891156462585,0.052402457382318246,0.8313253012048192,0.3013698630136986,0.6,0.855263157894737,0.1447368421052631,0.15853658536585363,0.4444444444444444,0.23679648676759507,0.4498346196251378,0.5294117647058822,0.0,0.4705882352941176,37.6687665,-122.08099640000002,156,4.17,0
271,Wichita,KS,67212,Midwest,0.25172413793103443,0.1595092024539877,0.163265306122449,0.02097996935052959,0.34939759036144574,0.31506849315068497,0.4,0.6973684210526316,0.3026315789473684,0.6463414634146342,0.3999999999999999,0.043337570784698944,0.09280757506971915,0.7058823529411764,0.9411764705882353,0.0,37.68717609999999,-97.330053,97,3.93,2
272,Daly City,CA,94015,West,0.5862068965517242,0.6687116564417178,0.24489795918367346,0.12110609327745908,0.7349397590361444,0.3424657534246575,0.4,0.7631578947368421,0.2368421052631579,0.25609756097560976,0.3555555555555556,0.3724719750375592,0.5037615928400027,0.5294117647058822,0.0,0.7058823529411764,37.687924100000004,-122.47020790000002,134,4.24,0
