,lat,lon,pizzaPlaceTotal,pizzaRatingAvg
311,37.087082099999996,-76.5730122,110,3.93
312,34.7464809,-92.3895948,106,3.9
313,42.9633599,-85.7680863,115,4.14
314,43.15657789999999,-77.70884649999999,105,4.16
315,36.7682088,-76.3874927,136,3.99
316,28.5383355,-81.4792365,147,4.22
317,41.5868353,-93.7249593,114,4.0
318,40.7177545,-74.1431435,139,4.36
319,36.0395247,-115.0817213,134,4.17
320,42.88644679999999,-78.97836889999999,120,4.2
321,27.950575,-82.55717759999999,134,4.15
322,37.68717609999999,-97.430053,97,3.93
323,35.7795897,-78.73817869999999,132,4.14
324,32.735687,-97.2080656,148,4.09
325,42.360082500000004,-71.15888009999999,111,4.25
326,32.7766642,-96.8969879,141,4.1
327,47.9789848,-122.30207949999999,119,4.1
328,29.7857765,-95.9245093,137,4.08
329,38.84622359999999,-77.40637329999997,157,4.12
330,39.6837226,-75.84965720000001,122,4.14
331,32.9341893,-97.329298,146,4.17
332,47.76011099999999,-122.3054452,148,4.32
333,39.613321,-105.11664979999999,129,4.15
334,38.3498195,-81.7326234,94,4.14
335,39.0839973,-77.2527578,161,4.14
336,30.42130899999999,-87.3169149,91,4.02
337,43.49266069999999,-112.1407584,102,4.17
338,46.8721284,-114.09403139999999,93,4.17
339,34.85261759999999,-82.4940104,109,4.1
340,27.909466499999997,-82.8873244,122,4.24
341,33.1031744,-96.77055030000001,142,4.24
342,35.6528323,-97.57809540000001,116,4.05
343,39.165325,-86.62638569999997,82,4.11
344,44.2619309,-88.51538469999997,90,4.08
345,35.5950581,-82.6514869,91,4.16
346,30.674364299999997,-96.4699632,67,3.87
347,34.953033700000006,-120.53571909999998,93,4.19
348,45.5272177,-123.0360906,133,4.16
349,33.158093300000004,-117.4505939,124,4.15
350,32.3199396,-106.8636538,100,4.21
351,37.270970399999996,-80.0414266,84,4.13
352,38.95170529999999,-92.4340724,84,4.12
353,45.783285600000006,-108.6006904,94,4.15
354,29.6516344,-82.42482619999997,76,4.1
355,27.9658533,-82.9001026,127,4.24
356,31.9973456,-102.1779146,96,3.97
357,38.2544472,-104.70914090000001,87,4.04
358,33.9519347,-83.457567,84,3.99
359,41.9778795,-91.76562320000001,89,4.09
360,33.8703645,-118.02421229999999,169,4.31
361,35.791540000000005,-78.88111690000001,126,4.15
362,29.984092200000003,-90.2528519,107,4.04
363,39.11553139999999,-94.7267873,134,4.08
364,41.7508391,-88.2535352,141,4.26
365,32.975641499999995,-96.98996359999998,156,4.27
366,43.0481221,-76.24742439999997,100,4.08
367,39.7047095,-105.18137340000001,141,4.24
368,38.804835499999996,-77.1469214,145,4.13
369,44.9428975,-123.13509629999999,85,4.12
370,37.20895720000001,-93.3922989,94,4.17
371,45.6257379,-122.7760886,145,4.23
372,34.730368799999994,-86.68610369999999,93,4.04
373,35.2219971,-101.93129689999999,75,4.07
374,33.4255104,-112.0400054,144,4.25
375,32.814017699999994,-97.04889449999999,169,4.18
376,47.6587802,-117.5260465,87,4.15
377,47.252876799999996,-122.5442906,127,4.01
378,33.3061605,-111.9412502,135,4.22
379,40.813615999999996,-96.8025955,81,4.04
380,40.44062479999999,-80.0958864,78,4.01
381,29.95106579999999,-90.1715323,96,4.12
382,36.8529263,-76.07798499999997,116,4.07
383,33.7489954,-84.48798239999999,133,4.12
384,38.9071923,-77.1368707,120,4.13
385,39.739235799999996,-105.090251,111,4.25
386,34.0522342,-118.34368490000001,149,4.36
387,42.680588,-83.2338214,156,4.16
