,id,city,state,region,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety
71,72,Saint Petersburg,FL,South,0.52,0.29,0.01,0.65,0.35,0.47,0.59,166000,19492,3.75,3.25,1.0
72,73,Boise,ID,West,0.43,0.39,0.03,0.56,0.44,0.54,0.51,208000,19113,5.0,5.0,3.75
73,74,Salt Lake City,UT,West,0.39,0.45,0.03,0.33,0.68,0.58,0.59,300000,20545,5.0,4.0,1.0
74,75,Richmond,VA,South,0.77,0.35,0.02,0.53,0.47,0.21,0.71,207750,19913,3.25,3.75,2.0
75,76,Chattanooga,TN,South,0.41,0.26,0.03,0.42,0.58,0.56,0.62,132000,19808,2.25,4.25,1.0
76,77,Sioux Falls,SD,Midwest,0.45,0.31,0.02,0.33,0.67,0.53,0.53,208000,17261,3.0,5.25,3.0
77,78,Santa Rosa,CA,West,0.71,0.3,0.03,0.68,0.32,0.26,0.51,521000,30901,5.0,3.0,4.0
78,79,Orange,CA,West,0.45,0.34,0.02,0.55,0.45,0.53,0.53,601000,30901,1.0,2.25,4.25
79,80,Costa Mesa,CA,West,0.45,0.35,0.02,0.55,0.45,0.53,0.57,719000,30901,1.0,3.75,3.0
80,81,Charleston,SC,South,0.5,0.48,0.02,0.57,0.43,0.48,0.61,287000,21261,5.0,4.0,3.75
81,82,Daly City,CA,West,0.71,0.3,0.02,0.58,0.42,0.27,0.49,830000,31786,3.25,1.0,4.0
82,83,El Cajon,CA,West,0.52,0.2,0.02,0.56,0.44,0.46,0.59,445000,29870,1.75,3.0,3.25
83,84,Sandy,UT,West,0.39,0.4,0.03,0.33,0.68,0.58,0.37,311500,21387,5.0,3.25,3.0
84,85,Round Rock,TX,South,0.38,0.38,0.03,0.6,0.4,0.6,0.45,250000,19555,3.0,2.0,4.0
85,86,Miami Beach,FL,South,0.62,0.48,0.01,0.6,0.4,0.38,0.6,418500,23702,4.75,2.25,1.0
86,87,Albany,NY,Northeast,0.64,0.37,0.03,0.36,0.64,0.33,0.73,168950,23765,4.25,4.75,2.0
87,88,Lawrence,KS,Midwest,0.61,0.52,0.02,0.71,0.29,0.37,0.64,174000,18524,3.0,4.25,2.25
88,89,San Leandro,CA,West,0.79,0.27,0.03,0.65,0.35,0.19,0.53,600000,29870,3.25,1.0,2.0
89,90,Wilmington,DE,South,0.66,0.31,0.02,0.54,0.46,0.32,0.69,217500,22418,1.75,3.75,1.0
90,91,Bend,OR,West,0.45,0.4,0.02,0.73,0.27,0.53,0.42,370000,27049,5.25,5.25,3.25
