,id,city,state,region,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety
445,446,Flint,MI,Midwest,0.64,0.11,0.01,0.63,0.37,0.35,0.72,38000,16840,2.75,2.75,1.0
446,447,Killeen,TX,South,0.41,0.19,0.01,0.52,0.48,0.58,0.47,107000,18566,3.0,3.25,2.75
447,448,High Point,NC,South,0.58,0.28,0.01,0.53,0.47,0.41,0.52,154838,23197,3.25,3.0,2.0
448,449,Waukegan,IL,Midwest,0.53,0.17,0.01,0.41,0.59,0.45,0.52,129248,21303,1.75,2.0,3.0
449,450,Tuscaloosa,AL,South,0.41,0.36,0.01,0.49,0.51,0.58,0.68,148000,18524,1.0,4.0,1.75
450,451,Miramar,FL,South,0.67,0.27,0.01,0.54,0.46,0.32,0.56,270000,23366,4.75,1.0,3.75
451,452,Concord,NC,South,0.39,0.29,0.01,0.48,0.52,0.6,0.45,191000,20187,2.25,2.0,3.25
452,453,Gastonia,NC,South,0.37,0.22,0.01,0.43,0.57,0.62,0.51,150000,20187,2.25,2.0,1.0
453,454,Hamilton,OH,Midwest,0.36,0.14,0.02,0.61,0.39,0.62,0.58,113009,20503,1.0,2.75,1.0
454,455,Fort Pierce,FL,South,0.54,0.15,0.0,0.61,0.39,0.46,0.58,137950,24186,4.75,3.25,1.0
455,456,Surprise,AZ,West,0.43,0.28,0.02,0.6,0.4,0.55,0.36,217990,19366,4.0,1.0,4.25
456,457,Manassas,VA,South,0.57,0.29,0.01,0.71,0.29,0.41,0.49,320000,27891,2.25,1.0,4.0
457,458,Lawrenceville,GA,South,0.45,0.21,0.01,0.58,0.42,0.54,0.58,185000,18945,2.25,1.0,3.25
458,459,Richmond,TX,South,0.46,0.12,0.01,0.54,0.46,0.53,0.54,259900,19913,2.0,2.0,4.0
459,460,Fresno,CA,West,0.48,0.19,0.02,0.52,0.48,0.51,0.59,223000,22966,1.0,3.25,2.0
460,461,Riverside,CA,West,0.49,0.24,0.02,0.57,0.43,0.49,0.56,350000,25155,1.0,1.0,3.0
461,462,Stockton,CA,West,0.54,0.18,0.02,0.62,0.38,0.45,0.55,244000,23913,1.0,1.75,1.0
462,463,Glendale,AZ,West,0.43,0.21,0.02,0.6,0.4,0.55,0.58,204900,28817,4.0,2.0,1.0
463,464,San Bernardino,CA,West,0.52,0.11,0.02,0.58,0.42,0.46,0.61,229500,29870,1.0,1.75,1.75
464,465,Modesto,CA,West,0.49,0.17,0.02,0.56,0.44,0.48,0.53,249000,30901,1.0,2.0,1.0
465,466,Ontario,CA,West,0.52,0.14,0.02,0.58,0.42,0.46,0.51,356500,24502,1.0,1.0,3.25
466,467,Palmdale,CA,West,0.69,0.14,0.02,0.42,0.58,0.29,0.55,276500,28817,1.0,1.0,3.75
467,468,Rialto,CA,West,0.52,0.08,0.02,0.58,0.42,0.46,0.54,300000,23787,1.0,1.0,3.25
468,469,Visalia,CA,West,0.4,0.27,0.02,0.48,0.52,0.58,0.51,211000,30901,1.0,4.0,2.75
469,470,Hemet,CA,West,0.49,0.1,0.02,0.57,0.43,0.49,0.58,225000,30901,1.0,1.75,1.75
470,471,Temecula,CA,West,0.49,0.33,0.02,0.57,0.43,0.49,0.46,418000,30901,1.0,1.0,3.75
471,472,Kissimmee,FL,South,0.62,0.15,0.01,0.71,0.29,0.37,0.59,169000,20692,4.75,1.75,1.75
472,473,Merced,CA,West,0.52,0.15,0.02,0.5,0.5,0.46,0.58,215796,30901,1.0,3.75,2.75
473,474,Murrieta,CA,West,0.49,0.26,0.02,0.57,0.43,0.49,0.45,389963,30901,1.0,1.0,4.25
474,475,Conroe,TX,South,0.19,0.19,0.01,0.5,0.5,0.8,0.56,212900,19219,2.0,2.0,3.0
475,476,Madera,CA,West,0.39,0.08,0.02,0.68,0.32,0.59,0.58,217410,30901,1.0,3.75,2.75
476,477,Spring,TX,South,0.49,0.2,0.02,0.5,0.5,0.49,0.46,235000,19303,1.75,1.0,1.0
477,478,Douglasville,GA,South,0.52,0.29,0.01,0.57,0.43,0.48,0.56,161000,18945,2.0,1.0,1.0
478,479,Bronx,NY,Northeast,0.91,0.15,0.0,0.44,0.56,0.08,0.56,353000,36901,3.25,1.0,4.0
479,480,Moreno Valley,CA,West,0.49,0.16,0.02,0.57,0.43,0.49,0.56,288000,33154,1.0,1.0,3.25
480,481,Bridgeport,CT,Northeast,0.51,0.17,0.01,0.3,0.7,0.48,0.68,164000,30501,2.0,1.75,2.75
481,482,Victorville,CA,West,0.52,0.12,0.02,0.58,0.42,0.46,0.54,212000,23155,1.0,1.0,2.75
482,483,Perris,CA,West,0.49,0.07,0.02,0.57,0.43,0.49,0.55,276000,20650,1.0,1.0,3.25
483,484,Homestead,FL,South,0.62,0.17,0.01,0.6,0.4,0.38,0.59,202500,23702,4.75,1.0,1.0
484,485,Hesperia,CA,West,0.52,0.1,0.02,0.58,0.42,0.46,0.55,236000,23576,1.0,1.0,3.25
485,486,Indio,CA,West,0.49,0.14,0.02,0.57,0.43,0.49,0.46,275000,30901,1.0,2.75,2.75
